Readable_Term,Label,Frequency
carbonate,ROCHA,6
grainstone,ROCHA,5
ostracod,FOSSEIS,5
laminite,ESTRUTURA_FISICA | ROCHA,5
rudstone,ROCHA,4
mudstone,ROCHA,4
packstone,ROCHA,4
bivalve,FOSSEIS,4
basalt,ROCHA,4
shrubstone,ROCHA,4
travertine,ROCHA,4
dolostone,ROCHA,4
arenite,ROCHA,4
marinha,FLUIDODATERRA | PALEOAMBIENTE,4
dolomite,MINERAIS | ROCHA,3
ooid,NAO_CONSOLID,3
claystone,ROCHA,3
coquina,ROCHA,3
cretaceus,UNIDADE_CRONO,3
peloid,NAO_CONSOLID,3
limestone,ROCHA,3
wackestone,NAO_CONSOLID | ROCHA,3
gastropod,FOSSEIS,3
calcarenite,ROCHA,3
discordância,ESTRUTURA_FISICA,3
calcite,MINERAIS,2
santo,BACIA,2
quartz,MINERAIS,2
falha,ESTRUTURA_FISICA,2
continental,PALEOAMBIENTE,2
fault,ESTRUTURA_FISICA,2
barremian,UNIDADE_CRONO,2
baciadesantos,BACIA,2
barite,MINERAIS,2
micrite,MINERAIS,2
pyrite,MINERAIS | ROCHA,2
halite,ROCHA,2
siltite,ROCHA,2
siltstone,ROCHA,2
sandstone,ROCHA,2
framestone,ROCHA,2
feldspar,MINERAIS,2
dolomudstone,ROCHA,2
boundstone,ROCHA,2
mound,ESTRUTURA_FISICA,2
intraclastic,FOSSEIS,2
magnesite,MINERAIS | ROCHA,2
scar,ESTRUTURA_FISICA,2
smectite,MINERAIS | ROCHA,2
mica,MINERAIS,2
eocene,UNIDADE_CRONO,2
floatstone,ROCHA,2
fracture,ESTRUTURA_FISICA,2
conglomerate,ROCHA,2
argila,NAO_CONSOLID,2
cementstone,ROCHA,2
neoproterozoic,UNIDADE_CRONO,2
shell,FOSSEIS,2
proterozoic,UNIDADE_CRONO,2
siliciclastic,ROCHA,2
talc,MINERAIS,2
calcimudstones,ROCHA,2
paleoproterozoic,UNIDADE_CRONO,2
paraná,BACIA,2
mollusk,FOSSEIS,2
failure,ESTRUTURA_FISICA,2
ripple,ESTRUTURA_FISICA,2
scarp,ESTRUTURA_FISICA,2
pelecypod,FOSSEIS,2
bioclasts,FOSSEIS,2
esferulitos,ROCHA,2
contact,ESTRUTURA_FISICA,2
guaruja,UNIDADE_LITO,2
calcilutite,ROCHA,2
ridge,ESTRUTURA_FISICA | PALEOAMBIENTE,2
tufa,ROCHA,2
jiqui,UNIDADE_CRONO,2
water,FLUIDODATERRA,2
spherulstone,ROCHA,2
neoproterozoico,UNIDADE_CRONO,2
campos,BACIA,1
aptian,UNIDADE_CRONO,1
camposbasin,BACIA,1
barra,CAMPO,1
alagoas,UNIDADE_CRONO,1
lakes,PALEOAMBIENTE,1
velha,UNIDADE_LITO,1
barravelha,UNIDADE_LITO,1
jiquiá,UNIDADE_CRONO,1
kwanza,BACIA,1
albian,UNIDADE_CRONO,1
faulting,ESTRUTURA_FISICA,1
precambrian,UNIDADE_CRONO,1
laminations,ESTRUTURA_FISICA,1
lamination,ESTRUTURA_FISICA,1
itapema,UNIDADE_LITO,1
formaçãobarravelha,UNIDADE_LITO,1
