Termo_Corrigido,NLD,Rótulo_Original
carbonate,"A carbonate is a sedimentary rock that is constituted by more than 50% by volume of carbonate minerals, principally calcite and/or dolomite. These minerals typically form from the accumulation of skeletal fragments of organisms or through direct chemical or biochemical precipitation from water. Limestone and dolostone are the most common types of carbonate rocks.",ROCHA
grainstone,"A grainstone is a grain-supported carbonate rock that lacks a carbonate mud matrix, having its interparticle pore space filled with cement or remaining as open porosity.",ROCHA
ostracod,"An ostracod is a bivalved microfossil that represents the preserved, typically calcitic carapace of a microscopic crustacean from the class Ostracoda. They are widely utilized in biostratigraphy and paleoenvironmental analysis due to their abundance, diversity, and sensitivity to depositional conditions in both marine and non-marine aquatic systems.",FOSSEIS
laminite,"A laminite is a fine-grained sedimentary rock that is characterized by a primary sedimentary structure composed of very fine, parallel, and often rhythmically repeated laminae. Each lamina is typically less than one centimeter thick and may represent variations in sediment supply, chemical precipitation, or biological activity. Its composition can be siliciclastic, carbonate, or evaporitic, often reflecting deposition in low-energy environments.",ESTRUTURA_FISICA | ROCHA
rudstone,"A rudstone is a grain-supported carbonate rock that contains more than 10% of grains larger than 2 mm in diameter, where the interstitial space is filled with a matrix of carbonate mud (micrite). This textural classification, part of the expanded Dunham system, distinguishes it from a floatstone, which is mud-supported, and from a grainstone, which lacks a muddy matrix.",ROCHA
mudstone,"A mudstone is a fine-grained siliciclastic sedimentary rock that is composed of a mixture of silt- and clay-sized particles. It is characterized by a massive or blocky fabric, lacking the fine lamination or fissility that is typical of shale.",ROCHA
packstone,"A packstone is a grain-supported carbonate rock that contains carbonate mud (micrite) as its interstitial matrix. According to the Dunham classification system, this textural class is distinguished from a wackestone by its grain-supported fabric and from a grainstone by the presence of mud. This rock type indicates deposition in an environment with sufficient energy to concentrate grains but not enough to completely winnow away the fine-grained mud.",ROCHA
bivalve,"A bivalve is a fossil mollusc of the class Bivalvia that is characterized by an external shell composed of two hinged, calcareous valves which are typically mirror images of each other. These fossils are common and widespread in marine and freshwater sedimentary rocks, serving as important paleoenvironmental indicators.",FOSSEIS
basalt,Basalt is a mafic extrusive igneous rock that is characterized by a fine-grained (aphanitic) texture and is composed predominantly of plagioclase and pyroxene minerals. It is the most common volcanic rock on Earth and is the extrusive equivalent of gabbro.,ROCHA
shrubstone,"A shrubstone is a type of carbonate boundstone that is characterized by a matrix-supported framework of in situ, branching, microbially-mediated calcite precipitates forming shrub-like structures.",ROCHA
travertine,"Travertine is a freshwater carbonate rock that is formed by the rapid, abiotic precipitation of calcium carbonate minerals from geothermally heated springs or other supersaturated surface waters. It is characterized by a distinctive porous, fibrous, or concentrically banded fabric resulting from rapid crystal growth. These deposits typically form terraced mounds at springs or can occur in lacustrine and fluvial settings.",ROCHA
dolostone,"A dolostone is a carbonate sedimentary rock that is composed predominantly of the mineral dolomite. It typically forms through the diagenetic replacement of precursor carbonate minerals in limestone by magnesium-rich fluids, a process known as dolomitization.",ROCHA
arenite,An arenite is a siliciclastic sedimentary rock that is composed predominantly of sand-sized framework grains and contains less than 15% of interstitial fine-grained matrix.,ROCHA
marine,"A marine paleoenvironment is a depositional environment that is situated within an ocean or sea, where the accumulation of sediments is governed by saltwater conditions and associated physical, chemical, and biological processes. It encompasses a wide spectrum of settings, ranging from shallow, high-energy nearshore zones to deep, low-energy abyssal plains. This environment is fundamentally distinguished from non-marine environments by its direct connection to the global ocean.",FLUIDODATERRA | PALEOAMBIENTE
dolomite,"Dolomite is an anhydrous carbonate mineral that is composed of calcium magnesium carbonate (CaMg(CO₃)₂). The term also defines a sedimentary carbonate rock, commonly known as dolostone, that is predominantly composed of the mineral dolomite.",MINERAIS | ROCHA
ooid,"An ooid is a coated sedimentary grain, typically subspherical and less than 2 mm in diameter, that is composed of a nucleus enveloped by a cortex of concentric carbonate laminae. These laminae are formed by chemical or microbial precipitation in an agitated, shallow-water environment. Ooids are a primary constituent of high-energy grainstone reservoirs.",NAO_CONSOLID
claystone,A claystone is a lithified and non-fissile mudrock that is composed predominantly of clay-sized siliciclastic particles. It is distinguished from shale by its tendency to break into blocky or conchoidal fragments rather than thin laminae.,ROCHA
coquina,"A coquina is a type of bioclastic carbonate rock that is composed predominantly of coarse-grained (>2 mm), mechanically accumulated, and cemented fragments of invertebrate shells, such as bivalves and gastropods. It typically forms in high-energy, shallow-marine to lacustrine environments and is characterized by high primary interparticle porosity. This rock type constitutes one of the main facies of the microbial-bioclastic carbonate reservoirs in the Brazilian Pre-Salt.",ROCHA
Cretaceous,"The Cretaceous is a chronostratigraphic System of the Mesozoic Erathem that encompasses all rocks formed during the Cretaceous Period. It is positioned stratigraphically above the Jurassic System and below the Paleogene System, corresponding to a time interval from approximately 145 to 66 million years ago. This system is named for its characteristic chalk deposits and includes the rock successions of globally significant petroleum provinces, such as the Brazilian Pre-Salt.",UNIDADE_CRONO
peloid,"A peloid is a carbonate grain that is composed of microcrystalline or cryptocrystalline carbonate and is distinguished by a lack of discernible internal structure. It is typically sand-sized, with a spherical to ovoid shape, and its origin is often polygenetic, commonly attributed to fecal pellets or the complete micritization of other grains.",NAO_CONSOLID
limestone,"A limestone is a carbonate sedimentary rock that is composed of more than 50% calcium carbonate (CaCO₃), typically in the form of the minerals calcite or aragonite. It can be formed by the accumulation of skeletal fragments of marine organisms, by direct chemical precipitation, or as a clastic rock derived from other limestones. A key diagnostic feature is its vigorous effervescence when in contact with dilute acid.",ROCHA
wackestone,"A wackestone is a mud-supported carbonate rock that, according to the Dunham classification, contains more than ten percent allochems (grains) set in a dominant carbonate mud matrix (micrite).",NAO_CONSOLID | ROCHA
gastropod,"A gastropod is a fossil of a mollusk from the class Gastropoda that is characterized by a single, univalve shell, which is typically coiled in a helical or planospiral manner. Due to their wide distribution and evolutionary diversity, they serve as important index fossils for biostratigraphic correlation and as indicators for paleoenvironmental reconstructions. In lacustrine depositional systems, such as the Brazilian Pre-Salt, massive accumulations of their shells form coquinas, which constitute significant reservoir rock facies.",FOSSEIS
calcarenite,"A calcarenite is a carbonate sedimentary rock that is composed of more than 50% sand-sized (0.0625 to 2 mm) carbonate grains. These grains can consist of various particle types, such as ooids, peloids, intraclasts, or skeletal fragments (bioclasts). In the Dunham classification, these rocks typically correspond to grainstones and packstones.",ROCHA
discordance,"A discordance is a stratigraphic surface of erosion or non-deposition that separates younger strata from older underlying rocks, representing a significant hiatus in the geologic record. It is a fundamental feature in seismic and sequence stratigraphy, often forming the boundary of a depositional sequence.",ESTRUTURA_FISICA
calcite,Calcite is a rock-forming carbonate mineral that corresponds to the most stable polymorph of calcium carbonate (CaCO₃) at surface conditions. It crystallizes in the trigonal system and is the principal constituent of limestone and marble. Its perfect rhombohedral cleavage and vigorous effervescence with dilute hydrochloric acid are its main diagnostic properties.,MINERAIS
quartz,"Quartz is a tectosilicate mineral that consists of a continuous framework of silicon-oxygen tetrahedra, resulting in the chemical formula SiO₂. As one of the most abundant minerals in the Earth's continental crust, it is a primary constituent of felsic igneous rocks, sandstones, and many metamorphic rocks. Quartz is characterized by its trigonal crystal system, Mohs hardness of 7, and conchoidal fracture.",MINERAIS
fault,"A fault is a planar or curviplanar fracture in a rock across which there has been significant displacement of the adjacent blocks parallel to the fracture surface. These structures accommodate strain in the Earth's crust and are critical elements in the formation of hydrocarbon traps. Faults are classified based on their slip direction, including normal, reverse, and strike-slip types.",ESTRUTURA_FISICA
continental,"A continental paleoenvironment is a depositional system that develops on a landmass above mean sea level, where sedimentation is controlled by subaerial processes. It encompasses a range of settings, including fluvial, lacustrine, eolian, and glacial environments. The resulting deposits are characteristically non-marine and often reflect the prevailing climatic and tectonic conditions.",PALEOAMBIENTE
fault,"A fault is a geological structure represented by a fracture or a zone of fractures along which there has been observable shear displacement of the adjacent rock blocks. This brittle deformation feature is a result of tectonic or non-tectonic stresses that exceed the rock's elastic limit. In hydrocarbon exploration, faults are critical elements that can form structural traps or act as conduits or barriers to fluid migration and accumulation.",ESTRUTURA_FISICA
Barremian,"The Barremian is a chronostratigraphic stage of the Lower Cretaceous Series that is positioned stratigraphically above the Hauterivian Stage and below the Aptian Stage. As a geologic age, it encompasses the time interval from approximately 129.4 to 125.0 million years ago. This interval is critical for the deposition of the pre-salt lacustrine carbonate successions in the South Atlantic marginal basins.",UNIDADE_CRONO
Bacia de Santos,"The Santos Basin is a sedimentary basin located on the southeastern Brazilian passive margin that contains Brazil's most significant hydrocarbon accumulations in pre-salt carbonate reservoirs. Its geological evolution is linked to the Cretaceous rifting of the South Atlantic Ocean, which led to the deposition of a thick Aptian evaporitic sequence that acts as the primary regional seal for the pre-salt petroleum system. The basin is bounded to the north by the Cabo Frio High and to the south by the Florianópolis High.",BACIA
barite,Barite is a sulfate mineral that consists of barium sulfate (BaSO₄) and is principally characterized by its high specific gravity and orthorhombic crystal system. It is the primary ore of barium and commonly occurs as a gangue mineral in hydrothermal veins or as a diagenetic component in sedimentary rocks. Barite's chemical inertness and high density make it a critical weighting agent in drilling fluids used in oil and gas exploration.,MINERAIS
micrite,"Micrite is a form of microcrystalline calcite that constitutes the fine-grained, lithified matrix of carbonate rocks, with individual crystals typically being less than four micrometers in diameter. It is the consolidated equivalent of carbonate mud, appearing dense and opaque in thin section. The term itself is a portmanteau derived from ""microcrystalline calcite"".",MINERAIS
pyrite,"Pyrite is a sulfide mineral that is composed of iron disulfide (FeS₂), crystallizes in the isometric system, and is characterized by its pale brass-yellow hue and metallic luster. As the most common sulfide mineral, it forms in diverse geological environments from hydrothermal to sedimentary. Its presence in sedimentary rocks often indicates formation under reducing conditions.",MINERAIS | ROCHA
halite,"Halite is a monomineralic evaporite rock that is composed almost exclusively of the mineral halite (NaCl), precipitated from the evaporation of hypersaline water. It commonly forms extensive, crystalline layers that are highly ductile and act as effective seals for hydrocarbon accumulations.",ROCHA
siltstone,"A siltstone is a siliciclastic sedimentary rock that is composed predominantly of consolidated silt-sized particles, defined as having grain diameters between 4 and 62.5 micrometers.",ROCHA
siltstone,"A siltstone is a siliciclastic sedimentary rock that is composed predominantly of consolidated silt-sized particles, whose diameters typically range from 4 to 62.5 micrometers. It is distinguished from sandstone by its finer grain size and from shale by its characteristic lack of fissility. As a type of mudrock, it represents an intermediate texture between claystone and very fine-grained sandstone.",ROCHA
sandstone,"A sandstone is a siliciclastic sedimentary rock that is consolidated and composed predominantly of sand-sized clasts, ranging from 0.0625 to 2 millimeters in diameter. These clasts, typically quartz, feldspar, or lithic fragments, are bound together by a mineral cement or a finer-grained matrix.",ROCHA
framestone,"A framestone is an autochthonous carbonate rock that is supported by a rigid, three-dimensional framework constructed by organisms that grew in-situ. According to the Embry and Klovan (1971) classification, the original voids within this framework are typically filled with a finer-grained carbonate sediment. The framework-building organisms are essential for the rock's structural integrity and depositional fabric.",ROCHA
feldspar,"Feldspar is a group of rock-forming tectosilicate minerals that consists of aluminosilicates with a three-dimensional framework structure and includes the alkali feldspar (K-Na) and plagioclase (Na-Ca) solid solution series. As the most abundant mineral group in the Earth's crust, feldspars are fundamental constituents of most igneous, metamorphic, and sedimentary rocks.",MINERAIS
dolomudstone,A dolomudstone is a dolostone that exhibits a mud-supported texture and contains less than 10% grains.,ROCHA
boundstone,"A boundstone is a carbonate rock whose original components were bound together by organisms at the time of deposition. This in-situ binding creates a rigid, self-supporting organic framework, the fabric of which is preserved in the rock. Common examples include coral reefs, stromatolites, and bryozoan mounds.",ROCHA
mound,"A mound is a carbonate buildup that forms a positive topographic feature, typically dome- or lens-shaped, constructed by the in-situ accumulation of organisms or sediment. It is distinguished from a reef by the characteristic lack of a macroscopic, rigid organic framework. These structures are often of microbial origin or formed by the baffling and trapping of sediment by non-framework organisms.",ESTRUTURA_FISICA
intraclastic,An intraclastic fossil is a fossil or biogenic fragment that has been eroded from a contemporaneous or penecontemporaneous semi-consolidated sediment and redeposited as a clast within the same depositional basin.,FOSSEIS
magnesite,"Magnesite is a magnesium carbonate mineral that has the chemical formula MgCO₃ and belongs to the calcite group. The term also designates a monomineralic carbonate rock that is composed almost entirely of the mineral magnesite. It typically forms through the metasomatic alteration of ultramafic or carbonate rocks, or as a primary chemical precipitate in evaporitic environments.",MINERAIS | ROCHA
scar,"A scar is a surface of rupture that represents the source area of a mass movement feature, such as a landslide or slump. It is the steep, often concave-upward face of stable ground left exposed after the detachment of the failed material.",ESTRUTURA_FISICA
smectite,Smectite is a group of 2:1 phyllosilicate minerals that is characterized by a permanent negative layer charge which allows for a high cation exchange capacity and significant interlayer swelling upon absorption of water or other polar molecules.,MINERAIS | ROCHA
mica,"Mica is a group of hydrous sheet silicate (phyllosilicate) minerals that is defined by a layered atomic structure which imparts a nearly perfect basal cleavage. This distinctive cleavage allows the mineral to be easily split into thin, flexible, and often elastic laminae. Common rock-forming micas include the light-colored muscovite and the dark-colored biotite.",MINERAIS
Eocene,"The Eocene is a geologic epoch of the Paleogene Period, positioned between the Paleocene and Oligocene epochs, that spans the time from 56 to 33.9 million years ago. It is characterized by the appearance of the first modern mammal orders and a significant global warming event at its onset, the Paleocene-Eocene Thermal Maximum (PETM).",UNIDADE_CRONO
floatstone,"A floatstone is a matrix-supported carbonate rock that contains more than 10% of components larger than 2 millimeters in diameter. These large components appear to be floating within a finer-grained matrix. This texture distinguishes it from a wackestone, which has fewer large components, and a rudstone, which is clast-supported.",ROCHA
fracture,"A fracture is a surface of mechanical discontinuity within a rock that is formed by brittle failure when applied stress exceeds the rock's strength. This general term encompasses joints, which are characterized by opening displacement, and faults, which exhibit shear displacement along the fracture plane. In reservoir geology, fracture networks are critical as they can significantly enhance or act as barriers to fluid flow, controlling the secondary permeability and porosity of the rock.",ESTRUTURA_FISICA
conglomerate,"A conglomerate is a clastic sedimentary rock that is composed predominantly of rounded to sub-rounded clasts larger than two millimeters in diameter. These gravel-sized fragments are set in a matrix of finer-grained sediment, such as sand or silt, and are commonly cemented by precipitated minerals. The rounded nature of the clasts indicates significant transport by water or ice prior to deposition.",ROCHA
argillite,An argillite is an unconsolidated siliciclastic sediment that is composed predominantly of clay-sized particles.,NAO_CONSOLID
cementstone,"A cementstone is a crystalline carbonate rock that is supported by its constituent, in situ precipitated cement. Any original depositional components are not in contact and appear to float within the cement matrix. This fabric distinguishes it from grain-supported or mud-supported carbonate rocks.",ROCHA
Neoproterozoic,"The Neoproterozoic is a geochronologic era of the Proterozoic Eon that extends from 1,000 to 538.8 million years before the present. It constitutes the terminal subdivision of the Precambrian, immediately preceding the Paleozoic Era. This era is characterized by major tectonic events, such as the breakup of the supercontinent Rodinia, and the evolutionary radiation of the first complex multicellular life, the Ediacaran biota.",UNIDADE_CRONO
shell,"A shell is a rigid, biomineralized exoskeleton that is secreted by an invertebrate animal to enclose and protect its soft tissues. It is characteristically produced by organisms such as mollusks, brachiopods, and ostracods, and is commonly composed of calcium carbonate minerals like calcite or aragonite. The preservation of shells in the geological record provides crucial fossil evidence for paleoenvironmental reconstructions and biostratigraphy.",FOSSEIS
Proterozoic,"The Proterozoic is a geologic eon that spans the time interval from 2,500 to 538.8 million years ago, positioned between the Archean and Phanerozoic eons. This unit of geologic time is characterized by the stabilization of continents and the significant accumulation of atmospheric oxygen, known as the Great Oxidation Event. The end of the Proterozoic is marked by the emergence of complex multicellular life, including the Ediacaran biota.",UNIDADE_CRONO
siliciclastic,"A siliciclastic rock is a sedimentary rock that is composed predominantly of clasts of silicate minerals, such as quartz, feldspar, and clay minerals, and/or lithic fragments. These components are derived from the weathering and erosion of pre-existing rocks and have been transported and deposited as solid particles. Common examples include sandstone, siltstone, and shale.",ROCHA
talc,"Talc is a phyllosilicate mineral that is composed of hydrated magnesium silicate and is used as the defining mineral for the lowest hardness value, 1, on the Mohs scale. It is characterized by its soapy or greasy feel, perfect basal cleavage, and a foliated to massive habit. This mineral typically forms as a secondary product from the hydrothermal alteration or metamorphism of magnesium-rich rocks, such as serpentinite or dolomite.",MINERAIS
calcimudstones,"Calcimudstones are carbonate sedimentary rocks that are characterized by a mud-supported fabric and contain less than 10% grains (allochems) embedded in a fine-grained carbonate mud matrix (micrite). These rocks typically form in low-energy depositional environments, such as deep marine settings or protected lagoons, where fine particles can settle out of suspension. Due to their matrix-dominated texture, they generally exhibit low primary porosity and permeability, often acting as seals or source rocks unless subsequently altered by fracturing or diagenesis.",ROCHA
Paleoproterozoic,"The Paleoproterozoic is the first geologic era of the Proterozoic Eon that extends from 2,500 to 1,600 million years ago. This interval of geologic time is marked by the initial stabilization of continental cratons and the significant rise of atmospheric oxygen known as the Great Oxidation Event.",UNIDADE_CRONO
