Term,Category,Reasoning,Original_Label,NLD
carbonate,Sedimentary Rock,The definition explicitly states that a carbonate is a sedimentary rock constituted by more than 50% carbonate minerals.,ROCHA,"A carbonate is a sedimentary rock that is constituted by more than 50% by volume of carbonate minerals, principally calcite and/or dolomite. These minerals typically form from the accumulation of skeletal fragments of organisms or through direct chemical or biochemical precipitation from water. Limestone and dolostone are the most common types of carbonate rocks."
grainstone,Sedimentary Rock,"The NLD defines grainstone as a type of 'carbonate rock' that is 'grain-supported', which directly fits the definition of a rock constituted by a collection of sedimentary grains.",ROCHA,"A grainstone is a grain-supported carbonate rock that lacks a carbonate mud matrix, having its interparticle pore space filled with cement or remaining as open porosity."
ostracod,Geological Object,"The NLD defines an ostracod as a preserved, rigid 'microfossil' or 'carapace', which fits the definition of a rigid entity with its own identity criteria generated by a geological process (fossilization).",FOSSEIS,"An ostracod is a bivalved microfossil that represents the preserved, typically calcitic carapace of a microscopic crustacean from the class Ostracoda. They are widely utilized in biostratigraphy and paleoenvironmental analysis due to their abundance, diversity, and sensitivity to depositional conditions in both marine and non-marine aquatic systems."
laminite,Sedimentary Rock,"The NLD explicitly defines laminite as a 'fine-grained sedimentary rock', which directly matches the category definition.",ESTRUTURA_FISICA | ROCHA,"A laminite is a fine-grained sedimentary rock that is characterized by a primary sedimentary structure composed of very fine, parallel, and often rhythmically repeated laminae. Each lamina is typically less than one centimeter thick and may represent variations in sediment supply, chemical precipitation, or biological activity. Its composition can be siliciclastic, carbonate, or evaporitic, often reflecting deposition in low-energy environments."
rudstone,Sedimentary Rock,"The NLD explicitly defines a rudstone as a 'grain-supported carbonate rock', which directly aligns with the definition of a rock constituted by a collection of sedimentary grains.",ROCHA,"A rudstone is a grain-supported carbonate rock that contains more than 10% of grains larger than 2 mm in diameter, where the interstitial space is filled with a matrix of carbonate mud (micrite). This textural classification, part of the expanded Dunham system, distinguishes it from a floatstone, which is mud-supported, and from a grainstone, which lacks a muddy matrix."
mudstone,Sedimentary Rock,The definition explicitly states that mudstone is a 'sedimentary rock' constituted by a collection of sedimentary grains.,ROCHA,"A mudstone is a fine-grained siliciclastic sedimentary rock that is composed of a mixture of silt- and clay-sized particles. It is characterized by a massive or blocky fabric, lacking the fine lamination or fissility that is typical of shale."
packstone,Sedimentary Rock,"The NLD explicitly defines a packstone as a 'grain-supported carbonate rock', which directly fits the definition of a rock constituted by a collection of sedimentary grains.",ROCHA,"A packstone is a grain-supported carbonate rock that contains carbonate mud (micrite) as its interstitial matrix. According to the Dunham classification system, this textural class is distinguished from a wackestone by its grain-supported fabric and from a grainstone by the presence of mud. This rock type indicates deposition in an environment with sufficient energy to concentrate grains but not enough to completely winnow away the fine-grained mud."
bivalve,Geological Object,"The NLD describes a fossil, which is a rigid entity with its own identity and unity criteria, generated by geological processes like fossilization.",FOSSEIS,"A bivalve is a fossil mollusc of the class Bivalvia that is characterized by an external shell composed of two hinged, calcareous valves which are typically mirror images of each other. These fossils are common and widespread in marine and freshwater sedimentary rocks, serving as important paleoenvironmental indicators."
basalt,Rock,"The NLD explicitly defines basalt as a type of 'rock', which is a solid, consolidated Earth Material.",ROCHA,Basalt is a mafic extrusive igneous rock that is characterized by a fine-grained (aphanitic) texture and is composed predominantly of plagioclase and pyroxene minerals. It is the most common volcanic rock on Earth and is the extrusive equivalent of gabbro.
shrubstone,Sedimentary Rock,"The NLD defines shrubstone as a 'type of carbonate boundstone,' which is a specific kind of consolidated sedimentary rock composed of calcite precipitates.",ROCHA,"A shrubstone is a type of carbonate boundstone that is characterized by a matrix-supported framework of in situ, branching, microbially-mediated calcite precipitates forming shrub-like structures."
