Entidade,Rótulo,Contagem,Score Médio
calcite,MINERAIS,557,"0,8503"
grainstones,ROCHA,299,"0,9578"
carbonates,ROCHA,263,"0,7661"
Santos,BACIA,187,"0,7791"
quartz,MINERAIS,172,"0,9940"
dolomite,MINERAIS,168,"0,7987"
rudstones,ROCHA,157,"0,9545"
grainstone,ROCHA,144,"0,8983"
Campos,BACIA,141,"0,9592"
Aptian,UNIDADE_CRONO,128,"0,8822"
CamposBasin,BACIA,104,"0,8816"
falhas,ESTRUTURA_FISICA,95,"0,9997"
continental,PALEOAMBIENTE,94,"0,8444"
Barra,CAMPO,94,"0,6037"
ooids,NAO_CONSOLID,82,"0,8013"
mudstone,ROCHA,78,"0,9117"
rudstone,ROCHA,78,"0,9014"
claystones,ROCHA,78,"0,8976"
mudstones,ROCHA,75,"0,9586"
coquinas,ROCHA,69,"0,9710"
Alagoas,UNIDADE_CRONO,68,"0,7284"
faults,ESTRUTURA_FISICA,66,"0,7248"
Cretaceous,UNIDADE_CRONO,64,"0,8870"
packstones,ROCHA,61,"0,9286"
Barremian,UNIDADE_CRONO,58,"0,9863"
carbonate,ROCHA,58,"0,6966"
bivalve,FOSSEIS,57,"0,9117"
basalts,ROCHA,57,"0,9459"
BaciadeSantos,BACIA,50,"0,9996"
barite,MINERAIS,46,"0,8005"
lakes,PALEOAMBIENTE,45,"0,7936"
Velha,UNIDADE_LITO,43,"0,5434"
BarraVelha,UNIDADE_LITO,41,"0,6564"
peloids,NAO_CONSOLID,40,"0,6517"
Jiquiá,UNIDADE_CRONO,40,"0,9451"
ostracods,FOSSEIS,35,"0,8891"
Kwanza,BACIA,33,"0,8182"
micrite,MINERAIS,32,"0,8194"
Albian,UNIDADE_CRONO,31,"0,9581"
limestones,ROCHA,30,"0,9174"
Grainstone,ROCHA,30,"0,8429"
coquina,ROCHA,28,"0,7736"
packstone,ROCHA,27,"0,8689"
shrubstone,ROCHA,26,"0,8661"
faulting,ESTRUTURA_FISICA,25,"0,7813"
pyrite,MINERAIS,25,"0,9042"
Precambrian,UNIDADE_CRONO,24,"0,8580"
laminations,ESTRUTURA_FISICA,23,"0,7677"
carbonatos,ROCHA,23,"0,9953"
travertines,ROCHA,22,"0,9898"
lamination,ESTRUTURA_FISICA,22,"0,7299"
halite,ROCHA,22,"0,7830"
bivalves,FOSSEIS,22,"0,9889"
Itapema,UNIDADE_LITO,22,"0,6212"
siltites,ROCHA,22,"0,9096"
siltstones,ROCHA,21,"0,9602"
FormaçãoBarraVelha,UNIDADE_LITO,20,"0,9984"
Grainstones,ROCHA,19,"0,8199"
stones,ROCHA,18,"0,8523"
alluvial,PALEOAMBIENTE,17,"0,8046"
limestone,ROCHA,15,"0,8583"
travertine,ROCHA,15,"0,8634"
fault,ESTRUTURA_FISICA,15,"0,7391"
ostracod,FOSSEIS,14,"0,7864"
sandstones,ROCHA,14,"0,7831"
Pelotas,BACIA,14,"0,9774"
SantosCampos,BACIA,14,"0,9355"
framestones,ROCHA,14,"0,7683"
vugular,ESTRUTURA_FISICA,14,"0,8367"
Bivalve,FOSSEIS,14,"0,8985"
Rudstones,ROCHA,14,"0,9673"
feldspar,MINERAIS,13,"0,8222"
dolomudstones,ROCHA,13,"0,9101"
shrubstones,ROCHA,12,"0,7742"
wackestones,ROCHA,12,"0,9060"
wackestone,NAO_CONSOLID,12,"0,7070"
BRSA,POÇO,12,"0,6406"
boundstone,ROCHA,11,"0,6296"
laminitos,ROCHA,11,"0,9817"
SantosBasin,BACIA,10,"0,7924"
CO2,FLUIDODATERRA,10,"0,6995"
