Termo_Legivel;Frequência;instancia?
carbonate;6;
grainstone;5;
ostracod;5;
laminite;5;
rudstone;4;
mudstone;4;
packstone;4;
bivalve;4;
basalt;4;
shrubstone;4;
travertine;4;
dolostone;4;
arenite;4;
marinha;4;
dolomite;3;
ooid;3;
claystone;3;
coquina;3;
cretaceus;3;
peloid;3;
limestone;3;
wackestone;3;
gastropod;3;
calcarenite;3;
discordância;3;
calcite;2;
santo;2;tirar
quartz;2;
falha;2;
continental;2;
fault;2;
barremian;2;
baciadesantos;2;instancia
barite;2;
micrite;2;
pyrite;2;
halite;2;
siltite;2;
siltstone;2;
sandstone;2;
framestone;2;
feldspar;2;
dolomudstone;2;
boundstone;2;
mound;2;
intraclastic;2;
magnesite;2;
scar;2;
smectite;2;
mica;2;
eocene;2;
floatstone;2;
fracture;2;
conglomerate;2;
argila;2;
cementstone;2;
neoproterozoic;2;
shell;2;
proterozoic;2;
siliciclastic;2;
talc;2;
calcimudstones;2;
paleoproterozoic;2;
paraná;2;instancia
mollusk;2;
failure;2;
ripple;2;
scarp;2;
pelecypod;2;
bioclasts;2;
esferulitos;2;
contact;2;
guaruja;2;instancia
calcilutite;2;
ridge;2;
tufa;2;
jiqui;2;instancia
water;2;
spherulstone;2;
neoproterozoico;2;
campos;1;
aptian;1;
camposbasin;1;instancia
barra;1;
alagoas;1;instancia
lakes;1;
velha;1;instancia
barravelha;1;instancia
jiquiá;1;instancia
kwanza;1;instancia
albian;1;
faulting;1;
precambrian;1;
laminations;1;
lamination;1;
itapema;1;instancia
formaçãobarravelha;1;instancia
stones;1;
alluvial;1;
pelotas;1;instancia
santoscampos;1;instancia
vugular;1;
brsa;1;instancia
santosbasin;1;instancia
co2;1;
cracks;1;
silt;1;
anhydrite;1;
espíritosanto;1;instancia
embasamento;1;
jurassic;1;
pelotasbasin;1;instancia
silica;1;
wedges;1;
folds;1;
valanginian;1;
miocene;1;
cambrian;1;
aptiano;1;
hauterivian;1;
colluvial;1;
rocks;1;
jiquiáburacica;1;instancia
eoaptian;1;
galena;1;
grain;1;
holocene;1;
campodetupi;1;instancia
depósitoscarbonáticos;1;
folhelhos;1;
anidrita;1;
cyanobacteria;1;
neocomian;1;
phanerozoic;1;
chalcedony;1;
fluvial;1;
buracica;1;
deltas;1;
muscovite;1;
neobarremian;1;
salta;1;
fmbarravelha;1;instancia
shrubby;1;
deltaic;1;
sergipealagoasbasin;1;instancia
mud;1;
algae;1;
marls;1;
retiro;1;instancia
tethyan;1;
neoaptian;1;
ariri;1;instancia
aragonite;1;
calcretes;1;
turonian;1;
magma;1;
palaeoproterozoic;1;
mollusc;1;
pleistocene;1;
mesozoic;1;
gravel;1;
paleozoic;1;
santonian;1;
campanian;1;
carbonatemounds;1;
eocretáceo;1;
pelitos;1;
evaporitos;1;
formaçãoitapema;1;instancia
bioturbation;1;
epinephelus;1;
açu;1;instancia
eodanian;1;
depressions;1;
diamictites;1;
clay;1;
oligocene;1;
santosbasins;1;instancia
sergipealagoas;1;instancia
granites;1;
macabu;1;instancia
quaternary;1;
miliolid;1;
crustone;1;
dolomud;1;
hauterevian;1;
2anp1;1;instancia
brsa1053;1;instancia
karst;1;
formationsantos;1;instancia
formation;1;
archean;1;
granitoids;1;
namibe;1;
kwanzabasins;1;instancia
mudrocks;1;
shallow;1;
cobbles;1;
baryte;1;
paleocene;1;
1seq1;1;instancia
barravelhaformation;1;instancia
carbonáticas;1;
baciadecampos;1;instancia
eoaptiano;1;
formaçãoariri;1;instancia
albiano;1;
lequesaluviais;1;
cretáceo;1;
paleógeno;1;
formaçãocamboriú;1;instancia
andaraptiano;1;
fluvio;1;
ghost;1;
tuffs;1;
oil;1;
lapa;1;
neocominian;1;
slip;1;
8buz;1;instancia
sylvite;1;
neogene;1;
eo;1;
material;1;
berriasian;1;
oceanic;1;
brittle;1;
tertiary;1;
volcaniclastics;1;
bve100;1;instancia
collapse;1;
volcanic;1;
discordance;1;
eoproterozoic;1;
santosespıritosanto;1;instancia
playalake;1;
celestine;1;
silcretes;1;
pãodeaçúcar;1;instancia
cenomanian;1;
maastrichtian;1;
danian;1;
bindstone;1;
sparstone;1;
kwanzacongo;1;instancia
gabon;1;
pelotasbasins;1;instancia
packstonesgrainstones;1;
wackestonespackstones;1;
camposbas;1;instancia
kwanzabasin;1;instancia
aratu;1;instancia
candonacentroimpressa;1;instancia
cyprideis;1;
brsa1159;1;instancia
flint;1;
chalks;1;
travertinecarbonates;1;
esp;1;instancia
espiritosanto;1;instancia
paranacampos;1;instancia
pluvial;1;
sphalerite;1;
silurian;1;
moldic;1;
devonian;1;
ordovician;1;
permian;1;
santoniancampanian;1;instancia
bitumen;1;
breccia;1;
camboriú;1;instancia
fissure;1;
fissureridge;1;
aptianbarravelha;1;instancia
prealagoas;1;instancia
truncations;1;
campossantos;1;instancia
aptianalagoas;1;instancia
tithonian;1;
jiquiáalagoas;1;instancia
paranábasin;1;instancia
shrubs;1;
rainstones;1;
crinkly;1;
cleavage;1;
bve300;1;instancia
bve200;1;instancia
arremian;1;
basinsantos;1;instancia
campodebúzios;1;instancia
gneisses;1;
cenozoic;1;
2seq5;1;instancia
2seq1;1;instancia
iracema;1;instancia
baciadepelotas;1;instancia
metamórficos;1;
baciade;1;
baciasdecampos;1;instancia
cisalhamento;1;
zona;1;
oceânica;1;
formaçõescamboriú;1;instancia
neocomiano;1;
barremiano;1;
neobarremiano;1;
lamitos;1;
transicional;1;
marinhoraso;1;
calcários;1;
formaçõesitapema;1;instancia
formaçõespiçarras;1;instancia
lacustre;1;
foraminíferosmiliolídeos;1;
gipsita;1;
neoaptiano;1;
taquidrita;1;
margas;1;
cenomaniano;1;
fmitapema;1;instancia
depositos;1;
raso;1;
argilamagnesiana;1;
argilominerais;1;
sublitorâneo;1;
magnesianas;1;
rochascarbonáticas;1;
aptianosuperior;1;
santosnamibe;1;instancia
cenozoicos;1;
ooliths;1;
oncoid;1;
calcirudite;1;
toca;1;
açúcar;1;instancia
carboniferous;1;
